iter	RMSE
0	0.3824685389
1	0.3805819112
2	0.3790516174
3	0.3769849517
4	0.3753778888
5	0.3732816567
6	0.3716255401
7	0.3697085205
8	0.3684468249
9	0.3664121821
10	0.364801025
11	0.3626525122
12	0.3610884059
13	0.3592145593
14	0.3572855477
15	0.3550786768
16	0.3534798802
17	0.3518155036
18	0.3503161422
19	0.3482433235
20	0.3464298157
21	0.3447754055
22	0.3432940494
23	0.3417581101
24	0.3402648469
25	0.3385469061
26	0.3367588948
27	0.3349328791
28	0.3332359143
29	0.3320916029
30	0.3304918455
31	0.3290132263
32	0.3275787003
33	0.3258454566
34	0.3240301096
35	0.322541737
36	0.321146749
37	0.3195866426
38	0.3176813163
39	0.3160553355
40	0.3142600988
41	0.312822593
42	0.3105539804
43	0.3092626985
44	0.3073890967
45	0.3059038396
46	0.3045769745
47	0.3028345963
48	0.3013751628
49	0.2995567507
50	0.2979815402
51	0.2968934327
52	0.2952219092
53	0.2933667543
54	0.2921578995
55	0.2909361072
56	0.2895346153
57	0.2879033504
58	0.2866113731
59	0.2853607597
60	0.284491996
61	0.2832166245
62	0.2818351032
63	0.2803947
64	0.2789646705
65	0.2776532943
66	0.2760680842
67	0.2743279526
68	0.2731235873
69	0.2719501572
70	0.270477295
71	0.2692537241
72	0.267945054
73	0.2667480715
74	0.2656424523
75	0.2643280529
76	0.2629812542
77	0.2617762781
78	0.2602947654
79	0.2592056792
80	0.2578610198
81	0.2564981549
82	0.2552943753
83	0.2538974806
84	0.2527960577
85	0.2516023452
86	0.2504125013
87	0.2490608093
88	0.2478750506
89	0.2466723855
90	0.2455479972
91	0.2441758269
92	0.2426876507
93	0.2412069544
94	0.2396536703
95	0.2383860729
96	0.2377492237
97	0.2366251258
98	0.2353791433
99	0.2341184977
100	0.2331472823
101	0.2318886763
102	0.2307990676
103	0.2297215511
104	0.2283339544
105	0.2273195421
106	0.2262125531
107	0.2250899592
108	0.2237319642
109	0.2225685125
110	0.2213460014
111	0.2198736714
112	0.2184567023
113	0.2174536215
114	0.2161982616
115	0.2150044883
116	0.2133898876
117	0.2122310207
118	0.211217879
119	0.2106303079
120	0.2096175591
121	0.2084093937
122	0.2073680554
123	0.2061035645
124	0.2050054542
125	0.2038059398
126	0.2030506896
127	0.2021841401
128	0.2010850571
129	0.2000188294
130	0.1989835895
131	0.1980252786
132	0.1970868982
133	0.1959416763
134	0.1949821317
135	0.1941062267
136	0.1929324097
137	0.191851651
138	0.1909315896
139	0.1901355108
140	0.1893914546
141	0.1885197956
142	0.1875902605
143	0.186575988
144	0.1857458262
145	0.1846282121
146	0.1835666075
147	0.1825518683
148	0.1816309122
149	0.1805328972
150	0.1796826503
151	0.1788121131
152	0.1779204618
153	0.1770289539
154	0.1761127297
155	0.1752802976
156	0.1744027969
157	0.1736745386
158	0.1728745412
159	0.1719468979
160	0.1710686946
161	0.170261494
162	0.169495881
163	0.168439482
164	0.1675552788
165	0.1666662962
166	0.1658131014
167	0.1649562567
168	0.1642474033
169	0.1634239019
170	0.1627255602
171	0.1619851158
172	0.1613244711
173	0.1606457262
174	0.1599451808
175	0.1592149058
176	0.1582955308
177	0.1575200582
178	0.1568302565
179	0.1561831935
180	0.1554650125
181	0.1547665635
182	0.1539525306
183	0.1532302337
184	0.15236367
185	0.1516226783
186	0.1509340968
187	0.1501609712
188	0.1494909184
189	0.1487711795
190	0.1480114469
191	0.1472769566
192	0.1464190192
193	0.1455549513
194	0.144878782
195	0.144294157
196	0.1436094812
197	0.1428412285
198	0.1421007185
199	0.1413701512
200	0.1406615248
201	0.1400357908
202	0.1393747976
203	0.138722901
204	0.1380675047
205	0.1373302905
206	0.1365660857
207	0.1357889126
208	0.1350274105
209	0.1343000922
210	0.133666482
211	0.1330349747
212	0.1323868314
213	0.1317601918
214	0.1311548858
215	0.1305479344
216	0.1298909567
217	0.1293046233
218	0.1286899294
219	0.128013311
220	0.1273903243
221	0.126727641
222	0.126061094
223	0.125493563
224	0.1248907461
225	0.1243006998
226	0.1237176226
227	0.1231331187
228	0.122564469
229	0.1219579459
230	0.1213746466
231	0.120782881
232	0.1201513735
233	0.1195674532
234	0.1190270512
235	0.1184856348
236	0.1179015063
237	0.1173498981
238	0.1167510283
239	0.1162081313
240	0.1156641015
241	0.1150936606
242	0.1145487318
243	0.1140075463
244	0.1134300494
245	0.1127686646
246	0.1122773491
247	0.1116881938
248	0.1111843603
249	0.1106347929
250	0.1101148982
251	0.1096248726
252	0.1089778169
253	0.1084792439
254	0.1078162116
255	0.107283943
256	0.1067988883
257	0.1062302985
258	0.1056811462
259	0.1051205671
260	0.1046018898
261	0.1041518401
262	0.1036741666
263	0.1031177827
264	0.1026498258
265	0.1021505718
266	0.1016496695
267	0.1012072988
268	0.100733669
269	0.1002712526
270	0.09979397534
271	0.09932123135
272	0.09883752335
273	0.09837616663
274	0.09792953661
275	0.09748162154
276	0.09705944076
277	0.09660112324
278	0.09615294794
279	0.09569175629
280	0.09521995149
281	0.09475516695
282	0.09430208757
283	0.09388628517
284	0.09345967674
285	0.09301706375
286	0.09256855895
287	0.0921314598
288	0.09169439312
289	0.09122806985
290	0.09079052031
291	0.09034470888
292	0.08992066655
293	0.08950277819
294	0.08909311857
295	0.08865489677
296	0.08819200334
297	0.0877975977
298	0.08738668367
299	0.0869861236
300	0.08658823052
301	0.08617858334
302	0.08575009651
303	0.08532685461
304	0.08491278292
305	0.08450306921
306	0.08409433812
307	0.08367913614
308	0.08328753139
309	0.08288784863
310	0.0824553439
311	0.08207799489
312	0.08168665851
313	0.08130450627
314	0.08092038315
315	0.08052250519
316	0.08014860338
317	0.0797942323
318	0.07941379516
319	0.07903917718
320	0.07869343329
321	0.0783201357
322	0.07793901595
323	0.0775597028
324	0.07719285746
325	0.0768085037
326	0.07644278595
327	0.07608163203
328	0.07571160963
329	0.0753546638
330	0.07499920305
331	0.07464542892
332	0.07429663468
333	0.07394139196
334	0.07359553323
335	0.07325127686
336	0.07291695144
337	0.07258847706
338	0.072230586
339	0.07188520416
340	0.07154897754
341	0.0712115049
342	0.07087365534
343	0.07053881277
344	0.07020290902
345	0.06987177798
346	0.06953823328
347	0.06920975729
348	0.06888284536
349	0.06856110441
350	0.06824047258
351	0.06793620228
352	0.0676157687
353	0.06729374409
354	0.06697634564
355	0.06666512982
356	0.06635017043
357	0.06603669907
358	0.06572893657
359	0.0654184598
360	0.06510805334
361	0.06481000432
362	0.06450380947
363	0.06419223759
364	0.06388896138
365	0.06359286817
366	0.06329242368
367	0.06299390873
368	0.06269681056
369	0.06240059949
370	0.06210630836
371	0.061813414
372	0.06152140371
373	0.06122427526
374	0.06093554023
375	0.06064765029
376	0.06036112048
377	0.06007594438
378	0.05979211559
379	0.05951014325
380	0.05922898759
381	0.05894916025
382	0.05867117171
383	0.05839397977
384	0.05811809743
385	0.05784351849
386	0.0575702368
387	0.05729875928
388	0.0570280513
389	0.05675862229
390	0.05649046619
391	0.056223577
392	0.05595794872
393	0.0556935754
394	0.05543095561
395	0.05516907207
396	0.0549084258
397	0.05464901096
398	0.05439082172
399	0.05413385229
400	0.05387859528
401	0.05362404587
402	0.05337120071
403	0.05311904849
404	0.05286808755
405	0.05261831229
406	0.05236971708
407	0.05212229637
408	0.05187604459
409	0.05163095623
410	0.05138702579
411	0.0511442478
412	0.05090261681
413	0.05066261121
414	0.05042325572
415	0.05018503106
416	0.04994793189
417	0.0497119529
418	0.04947708879
419	0.04924333429
420	0.04901068417
421	0.0487791332
422	0.0485486762
423	0.04831930799
424	0.04809102343
425	0.0478638174
426	0.04763768481
427	0.04741262058
428	0.04718861966
429	0.04696567704
430	0.04674378771
431	0.0465229467
432	0.04630314904
433	0.04608438983
434	0.04586666414
435	0.04564996709
436	0.04543429384
437	0.04521963952
438	0.04500599935
439	0.04479336851
440	0.04458174226
441	0.04437111582
442	0.0441614845
443	0.04395284357
444	0.04374518837
445	0.04353851424
446	0.04333281654
447	0.04312809066
448	0.04292433201
