,Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
8129,1,V Sehwag,0.1,5,6,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8130,1,SR Tendulkar,0.1,100,110,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8131,1,IK Pathan,1.2,65,61,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8132,1,MS Dhoni,16.1,68,51,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8133,1,Yuvraj Singh,33.6,39,28,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8134,1,R Dravid,41.6,18,14,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8135,1,AB Agarkar,45.4,3,6,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8136,1,M Kaif,45.1,8,12,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8137,1,Z Khan,47.1,5,3,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8138,1,M Kartik,48.3,1,3,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8139,1,S Sreesanth,49.1,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8140,2,Salman Butt,0.1,101,111,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8141,2,Kamran Akmal,0.1,25,24,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8142,2,Shoaib Malik,8.1,90,67,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8143,2,Shahid Afridi,31.5,17,15,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8144,2,Mohammad Yousuf,35.5,17,13,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8145,2,Inzamam-ul-Haq,36.6,16,18,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8146,2,Younis Khan,39.6,18,16,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8147,2,Abdul Razzaq,43.3,4,6,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8148,2,Naved-ul-Hasan,44.5,11,11,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8149,2,Mohammad Asif,-1.0,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8150,2,Umar Gul,-1.0,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8151,2,Arshad Khan,-1.0,0,0,Pakistan,India,Arbab Niaz Stadium,Pakistan,field,Pakistan
8285,1,JM How,0.1,66,88,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8286,1,NJ Astle,0.1,90,104,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8287,1,SP Fleming,25.6,55,46,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8288,1,SB Styris,39.3,36,31,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8289,1,BB McCullum,41.3,2,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8290,1,PG Fulton,42.6,7,8,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8291,1,JEC Franklin,45.5,2,4,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8292,1,HJH Marshall,46.5,7,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8293,1,SE Bond,49.6,0,1,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8294,1,DL Vettori,49.1,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8295,1,MJ Mason,-1.0,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8296,1,JS Patel,-1.0,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8297,2,CH Gayle,0.1,6,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8298,2,D Ganga,0.1,54,75,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8299,2,RS Morton,3.2,0,1,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8300,2,RR Sarwan,4.3,56,83,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8301,2,S Chanderpaul,21.6,18,19,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8302,2,WW Hinds,29.4,3,17,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8303,2,DR Smith,32.4,38,25,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8304,2,D Ramdin,34.6,5,14,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8305,2,RN Lewis,39.5,5,5,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8306,2,IDR Bradshaw,40.6,10,21,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8307,2,FH Edwards,41.2,3,18,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8308,2,JE Taylor,-1.0,0,0,New Zealand,West Indies,Westpac Stadium,New Zealand,bat,New Zealand
8329,1,Rajin Saleh,0.1,7,30,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8330,1,Shahriar Nafees,0.1,0,4,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8331,1,Aftab Ahmed,1.4,21,18,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8332,1,Mohammad Ashraful,8.3,4,7,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8333,1,Habibul Bashar,9.3,2,14,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8334,1,Khaled Mashud,10.1,0,1,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8335,1,Khaled Mahmud,10.4,36,60,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8336,1,Mohammad Rafique,16.3,6,18,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8337,1,Alok Kapali,22.3,19,41,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8338,1,Mashrafe Mortaza,29.3,6,16,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8339,1,Syed Rasel,34.3,7,6,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8340,1,Abdur Razzak,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8341,2,J Mubarak,0.1,4,6,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8342,2,ST Jayasuriya,0.1,13,23,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8343,2,KC Sangakkara,1.7,50,58,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8344,2,DPMD Jayawardene,8.3,37,47,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8345,2,CK Kapugedera,20.5,0,5,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8346,2,TM Dilshan,21.6,2,5,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8347,2,KHRK Fernando,23.7,0,1,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8348,2,PDRL Perera,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8349,2,MF Maharoof,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8350,2,CRD Fernando,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8351,2,HMCM Bandara,-1.0,0,0,Bangladesh,Sri Lanka,Shaheed Chandu Stadium,Bangladesh,bat,Sri Lanka
8398,1,Shahriar Nafees,0.1,16,18,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8399,1,Rajin Saleh,0.1,7,12,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8400,1,Aftab Ahmed,3.6,30,43,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8401,1,Mohammad Ashraful,6.3,5,21,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8402,1,Habibul Bashar,11.6,52,89,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8403,1,Tushar Imran,18.5,20,38,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8404,1,Khaled Mashud,31.1,27,34,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8405,1,Mohammad Rafique,42.3,8,11,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8406,1,Mashrafe Mortaza,44.1,1,3,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8407,1,Abdur Razzak,44.6,2,5,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8408,1,Syed Rasel,46.3,0,4,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8409,2,AC Gilchrist,0.1,76,43,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8410,2,SM Katich,0.1,18,26,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8411,2,MJ Clarke,10.6,16,49,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8412,2,A Symonds,11.7,0,6,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8413,2,RT Ponting,14.5,14,29,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8414,2,MEK Hussey,22.5,36,61,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8415,2,GB Hogg,30.4,7,16,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8416,2,B Lee,36.5,12,29,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8417,2,NW Bracken,-1.0,0,0,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8418,2,MG Johnson,-1.0,0,0,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8419,2,DJ Cullen,-1.0,0,0,Bangladesh,Australia,Chittagong Divisional Stadium,Bangladesh,bat,Australia
8558,1,G Gambhir,0.1,25,26,India,England,Feroz Shah Kotla,England,field,India
8559,1,V Sehwag,0.1,7,8,India,England,Feroz Shah Kotla,England,field,India
8560,1,R Dravid,2.6,34,50,India,England,Feroz Shah Kotla,England,field,India
8561,1,Yuvraj Singh,9.5,1,6,India,England,Feroz Shah Kotla,England,field,India
8562,1,M Kaif,11.2,4,8,India,England,Feroz Shah Kotla,England,field,India
8563,1,SK Raina,13.4,24,60,India,England,Feroz Shah Kotla,England,field,India
8564,1,IK Pathan,19.7,28,42,India,England,Feroz Shah Kotla,England,field,India
8565,1,MS Dhoni,32.3,20,27,India,England,Feroz Shah Kotla,England,field,India
8566,1,Harbhajan Singh,35.3,37,46,India,England,Feroz Shah Kotla,England,field,India
8567,1,RP Singh,45.6,2,3,India,England,Feroz Shah Kotla,England,field,India
8568,1,S Sreesanth,46.4,0,1,India,England,Feroz Shah Kotla,England,field,India
8569,2,AJ Strauss,0.1,0,3,India,England,Feroz Shah Kotla,England,field,India
8570,2,OA Shah,0.4,4,3,India,England,Feroz Shah Kotla,England,field,India
8571,2,MJ Prior,0.1,22,31,India,England,Feroz Shah Kotla,England,field,India
8572,2,KP Pietersen,1.1,46,47,India,England,Feroz Shah Kotla,England,field,India
8573,2,A Flintoff,11.6,41,36,India,England,Feroz Shah Kotla,England,field,India
8574,2,PD Collingwood,19.6,8,23,India,England,Feroz Shah Kotla,England,field,India
8575,2,GO Jones,20.5,0,9,India,England,Feroz Shah Kotla,England,field,India
8576,2,ID Blackwell,22.5,10,20,India,England,Feroz Shah Kotla,England,field,India
8577,2,LE Plunkett,28.6,14,31,India,England,Feroz Shah Kotla,England,field,India
8578,2,Kabir Ali,30.2,0,6,India,England,Feroz Shah Kotla,England,field,India
8579,2,JM Anderson,31.3,12,16,India,England,Feroz Shah Kotla,England,field,India
8666,1,AC Gilchrist,0.1,14,18,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8667,1,SM Katich,0.1,2,16,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8668,1,DR Martyn,3.5,1,3,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8669,1,MJ Clarke,4.2,53,81,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8670,1,MEK Hussey,7.6,56,73,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8671,1,SR Watson,31.3,22,37,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8672,1,GB Hogg,33.5,13,16,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8673,1,B Lee,39.1,38,26,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8674,1,NW Bracken,45.3,16,6,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8675,1,MG Johnson,46.6,0,0,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8676,1,ML Lewis,-1.0,0,0,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8677,2,GC Smith,0.1,119,123,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8678,2,HH Dippenaar,0.1,10,16,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8679,2,HH Gibbs,5.6,0,1,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8680,2,AB de Villiers,6.6,43,30,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8681,2,MV Boucher,17.2,4,16,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8682,2,JM Kemp,23.1,24,38,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8683,2,SM Pollock,-1.0,0,0,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8684,2,M Ntini,-1.0,0,0,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8685,2,A Nel,-1.0,0,0,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8686,2,AJ Hall,-1.0,0,0,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8687,2,RJ Peterson,-1.0,0,0,South Africa,Australia,SuperSport Park,Australia,bat,South Africa
8775,1,Salman Butt,0.1,26,61,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8776,1,Kamran Akmal,0.1,5,9,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8777,1,Shoaib Malik,3.2,7,18,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8778,1,Mohammad Yousuf,9.5,46,74,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8779,1,Inzamam-ul-Haq,20.4,24,38,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8780,1,Younis Khan,31.6,41,47,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8781,1,Shahid Afridi,35.1,2,5,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8782,1,Abdul Razzaq,36.6,32,39,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8783,1,Naved-ul-Hasan,47.4,4,4,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
8784,1,Iftikhar Anjum,49.5,1,1,Sri Lanka,Pakistan,R Premadasa Stadium,Sri Lanka,field,
9019,1,RV Uthappa,0.1,12,24,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9020,1,R Dravid,0.1,20,29,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9021,1,IK Pathan,7.2,26,48,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9022,1,Yuvraj Singh,13.6,7,4,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9023,1,SK Raina,16.3,40,67,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9024,1,Y Venugopal Rao,18.6,61,92,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9025,1,MS Dhoni,38.4,3,10,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9026,1,AB Agarkar,41.5,12,15,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9027,1,RR Powar,45.6,5,6,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9028,1,Harbhajan Singh,48.1,3,3,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9029,1,S Sreesanth,49.6,0,0,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9030,2,Shoaib Malik,0.1,12,34,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9031,2,Imran Farhat,0.1,30,39,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9032,2,Younis Khan,9.5,71,93,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9033,2,Inzamam-ul-Haq,14.6,40,69,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9034,2,Mohammad Yousuf,36.3,1,14,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9035,2,Kamran Akmal,39.5,24,33,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9036,2,Mohammad Asif,-1.0,0,0,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9037,2,Naved-ul-Hasan,-1.0,0,0,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9038,2,Iftikhar Anjum,-1.0,0,0,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9039,2,Abdul Razzaq,-1.0,0,0,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
9040,2,Shahid Afridi,-1.0,0,0,India,Pakistan,Sheikh Zayed Stadium,India,bat,Pakistan
7827,1,AC Gilchrist,0.1,0,1,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7828,1,RT Ponting,0.2,33,44,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7829,1,SM Katich,0.1,0,7,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7830,1,DR Martyn,2.5,12,16,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7831,1,A Symonds,8.2,9,16,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7832,1,MJ Clarke,14.2,8,14,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7833,1,MEK Hussey,15.5,73,105,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7834,1,B Lee,18.1,57,70,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7835,1,NW Bracken,44.8,7,12,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7836,1,SR Clark,47.5,15,8,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7837,1,GD McGrath,49.6,0,1,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7838,1,JR Hopes,-1.0,0,0,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7839,2,GC Smith,0.1,12,26,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7840,2,HH Dippenaar,0.1,74,113,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7841,2,JH Kallis,7.6,0,1,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7842,2,HH Gibbs,8.4,16,26,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7843,2,AG Prince,14.5,19,39,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7844,2,MV Boucher,32.1,63,61,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7845,2,JM Kemp,40.7,29,21,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7846,2,SM Pollock,-1.0,0,0,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7847,2,GJP Kruger,-1.0,0,0,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7848,2,AJ Hall,-1.0,0,0,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
7849,2,M Zondeki,-1.0,0,0,Australia,South Africa,"""Brisbane Cricket Ground",Australia,bat,South Africa
8083,1,WU Tharanga,0.1,103,125,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8084,1,DA Gunawardene,0.1,3,16,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8085,1,KC Sangakkara,5.5,36,57,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8086,1,DPMD Jayawardene,28.1,6,13,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8087,1,MS Atapattu,32.5,52,45,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8088,1,TM Dilshan,37.2,10,14,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8089,1,MF Maharoof,41.3,7,12,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8090,1,RP Arnold,45.1,21,14,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8091,1,WPUJC Vaas,49.6,1,1,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8092,1,CRD Fernando,-1.0,0,0,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8093,1,M Muralitharan,-1.0,0,0,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8094,2,L Vincent,0.1,46,43,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8095,2,JM How,0.1,12,20,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8096,2,NJ Astle,8.5,90,115,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8097,2,PG Fulton,12.1,32,50,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8098,2,HJH Marshall,29.5,12,11,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8099,2,SB Styris,34.5,28,30,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8100,2,CL Cairns,44.1,10,8,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8101,2,KD Mills,-1.0,0,0,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8102,2,SE Bond,-1.0,0,0,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8103,2,JDP Oram,-1.0,0,0,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8104,2,DL Vettori,-1.0,0,0,New Zealand,Sri Lanka,Jade Stadium,New Zealand,field,New Zealand
8152,1,Salman Butt,0.1,0,2,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8153,1,Shoaib Malik,0.3,95,109,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8154,1,Kamran Akmal,0.1,14,18,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8155,1,Mohammad Yousuf,8.5,1,5,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8156,1,Inzamam-ul-Haq,9.7,8,9,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8157,1,Younis Khan,13.3,81,98,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8158,1,Shahid Afridi,34.1,18,11,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8159,1,Abdul Razzaq,38.4,14,15,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8160,1,Naved-ul-Hasan,43.5,6,12,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8161,1,Umar Gul,46.2,17,14,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8162,1,Mohammad Asif,48.2,2,3,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8163,1,Arshad Khan,-1.0,0,0,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8164,2,V Sehwag,0.1,67,57,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8165,2,SR Tendulkar,0.1,42,39,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8166,2,R Dravid,15.2,56,60,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8167,2,Yuvraj Singh,17.3,82,88,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8168,2,M Kaif,38.5,5,9,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8169,2,IK Pathan,-1.0,0,0,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8170,2,S Sreesanth,-1.0,0,0,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8171,2,Z Khan,-1.0,0,0,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8172,2,AB Agarkar,-1.0,0,0,Pakistan,India,Rawalpindi Cricket Stadium,Pakistan,bat,India
8173,1,AC Gilchrist,0.1,0,2,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8174,1,RT Ponting,0.3,124,125,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8175,1,SM Katich,0.1,1,5,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8176,1,DR Martyn,2.2,8,5,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8177,1,A Symonds,3.1,151,127,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8178,1,MJ Clarke,40.5,54,28,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8179,1,MEK Hussey,47.2,23,7,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8180,1,B Lee,-1.0,0,0,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8181,1,NW Bracken,-1.0,0,0,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8182,1,SR Clark,-1.0,0,0,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8183,1,ML Lewis,-1.0,0,0,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8184,1,GB Hogg,-1.0,0,0,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8185,2,MS Atapattu,0.1,24,34,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8186,2,ST Jayasuriya,0.1,0,6,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
8187,2,KC Sangakkara,1.5,13,13,Australia,Sri Lanka,Sydney Cricket Ground,Australia,bat,Australia
