,Unnamed: 0,Innings,Player_name,Over_start_number,Runs_Scored,Balls_faced,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner
38188,5126,1,J Nkomo,22.4,27,72,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38189,5127,1,T Granger,27.1,7,36,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38190,5128,1,N Mutasa,40.6,0,1,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38191,5129,1,E Mbofana,42.3,0,1,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38192,5130,2,V Krishnamurthy,0.1,50,51,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38193,5131,2,H Kaur,0.1,39,45,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38194,5132,2,J Goswami,-1.0,0,0,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38195,5133,2,S Pandey,-1.0,0,0,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38196,5134,2,E Bisht,-1.0,0,0,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38197,5135,2,DB Sharma,-1.0,0,0,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38198,5136,2,Poonam Yadav,-1.0,0,0,India,Zimbabwe,Senwes Park,Zimbabwe,bat,India
38199,4214,1,L Winfield,0.1,24,31,England,South Africa,County Ground,England,bat,England
38200,4215,1,TT Beaumont,0.1,148,140,England,South Africa,County Ground,England,bat,England
38201,4216,1,SJ Taylor,11.4,147,102,England,South Africa,County Ground,England,bat,England
38202,4217,1,NR Sciver,46.3,2,3,England,South Africa,County Ground,England,bat,England
38203,4218,1,KH Brunt,47.3,4,2,England,South Africa,County Ground,England,bat,England
38204,4219,1,HC Knight,47.5,22,10,England,South Africa,County Ground,England,bat,England
